Array,Code,Name,Latitude,Longitude
DTU,THL,Qaanaaq,77.470,290.770
DTU,UMQ,Uummannaq,70.680,307.870
DTU,UPN,Upernavik,72.780,303.850
IMAGE,NAL,Ny Alesund,78.920,11.950
IMAGE,LYR,Longyearbyen,78.200,15.820
IMAGE,HOR,Hornsund,77.000,15.600
IMAGE,HOP,Hopen Island,76.510,25.010
IMAGE,BJN,Bear Island,74.500,19.200
IMAGE,NOR,Nordkapp,71.090,25.790
IMAGE,SOR,Soroya,70.540,22.220
IMAGE,ALT,Alta,69.860,22.960
IMAGE,KEV,Kevo,69.760,27.010
IMAGE,TRO,Tromso,69.660,18.940
IMAGE,MAS,Masi,69.460,23.700
IMAGE,AND,Andenes,69.300,16.030
IMAGE,KIL,Kilpisjärvi,69.060,20.770
IMAGE,KAU,Kautokeino,69.020,23.050
IMAGE,IVA,Ivalo,68.560,27.290
IMAGE,ABK,Abisko,68.350,18.820
IMAGE,LEK,Leknes,68.130,13.540
IMAGE,MUO,Muonio,68.020,23.530
IMAGE,LOZ,Lovozero,67.970,35.080
IMAGE,KIR,Kiruna,67.840,20.420
IMAGE,RST,Rost,67.520,12.090
IMAGE,SOD,Sodankylä,67.370,26.630
IMAGE,PEL,Pello,66.900,24.080
IMAGE,JCK,Jackvik,66.400,16.980
IMAGE,DON,Donna,66.110,12.500
IMAGE,RAN,Ranua,65.900,26.410
IMAGE,RVK,Rorvik,64.940,10.980
IMAGE,LYC,Lycksele,64.610,18.750
IMAGE,OUJ,Oulujärvi,64.520,27.230
IMAGE,MEK,Mekrijärvi,62.770,30.970
IMAGE,HAN,Hankasalmi,62.250,26.600
IMAGE,DOB,Dombas,62.070,9.110
IMAGE,SOL,Solund,61.080,4.840
IMAGE,NUR,Nurmijärvi,60.500,24.650
IMAGE,HAR,Harestua,60.210,10.710
IMAGE,UPS,Uppsala,59.900,17.350
IMAGE,KAR,Karmoy,59.210,5.240
IMAGE,TAR,Tartu,58.260,26.460
IMAGE,BRZ,Birzai,56.170,24.860
IMAGE,HLP,Hel,54.610,18.820
IMAGE,SUW,Suwałki,54.010,23.180
IMAGE,WNG,Wingst,53.740,9.070
IMAGE,NGK,Niemegk,52.070,12.680
IMAGE,PPN,Polesie,51.450,23.130
GIMA,ARCT,Arctic Village,68.133,214.433
GIMA,BETT,Bettles,66.901,208.446
GIMA,CIGO,College Int'l Geophysical Observatory,64.873,212.140
GIMA,EAGL,Eagle,64.780,218.838
GIMA,FYKN,Fort Yukon,66.560,214.786
GIMA,GAKO,Gakona,62.393,214.870
GIMA,HLMS,High Latitude Monitoring Station,61.235,210.128
GIMA,HOMR,Homer,59.658,208.349
GIMA,KAKO,Kaktovik,70.135,216.350
GIMA,KENA,Kenai College,60.554,208.742
GIMA,POKR,Poker Flat,65.119,212.567
GIMA,TRAP,Trapper Creek,62.240,209.580
MACCS,NAN,Nain,56.400,298.300
MACCS,PGG,Pangnirtung,66.100,294.200
MACCS,CRV,Clyde River,70.500,291.400
MACCS,CDR,Cape Dorset,64.200,283.400
MACCS,IGL,Igloolik,69.300,278.200
MACCS,CHB,Coral Harbour,64.188,276.650
MACCS,RBY,Repulse Bay,66.524,273.769
MACCS,PEB,Pelly Bay,68.538,270.211
MACCS,GJO,Gjoa Haven,68.633,264.150
McMAC,AMER,Americus,38.500,263.700
McMAC,BENN,Bennington,41.360,262.840
McMAC,GLYN,Glyndon,46.870,263.550
McMAC,LRES,Linares,24.800,260.400
McMAC,LYFD,Lyford,26.400,262.200
McMAC,PCEL,Purcell,35.000,262.600
McMAC,RICH,Richardson,32.980,262.250
McMAC,SATX,San Antonio,29.440,261.390
McMAC,WRTH,Worthington,43.600,264.400
THEMIS,BMLS,Bay Mills,46.480,275.310
THEMIS,CCNV,Carson City,39.190,240.220
THEMIS,CHBG,Chibougamau,49.814,285.581
THEMIS,DRBY,Derby,44.950,287.870
THEMIS,GBAY,Goose Bay,53.316,299.540
THEMIS,HOTS,Hot Springs,47.590,245.340
THEMIS,KAPU,Kapuskasing,49.392,277.680
THEMIS,KIAN,Kiana,66.971,199.562
THEMIS,KUUJ,Kuujjuaq,58.100,291.600
THEMIS,LOYS,Loysburg,40.180,281.620
THEMIS,MCGR,Mcgrath,62.953,204.404
THEMIS,PGEO,Prince George,53.815,237.172
THEMIS,PINE,Pine Ridge,43.080,257.410
THEMIS,PTRS,Petersburg,56.810,227.050
THEMIS,RMUS,Remus,43.660,274.860
THEMIS,SNAP,Snap Lake,63.580,249.130
THEMIS,SWNO,Shawano,44.780,271.400
THEMIS,TPAS,The Pas,53.994,259.059
THEMIS,UKIA,Ukiah,45.140,241.070
THEMIS,WHIT,Whitehorse,61.010,224.777
USGS,BOU,Boulder,40.140,254.763
USGS,BRW,Point Barrow,71.320,203.380
USGS,BSL,NASA Stennis Space Center,30.350,270.364
USGS,CMO,Fairbanks,64.870,212.140
USGS,DED,Dead Horse,70.360,211.207
USGS,FRD,Corbin,38.200,282.627
USGS,FRN,Fresno,37.090,240.287
USGS,GUA,Dededo,13.590,144.869
USGS,HON,Honolulu,21.320,202.000
USGS,NEW,Colville National Forest,48.270,242.877
USGS,SHU,Sand Point,55.380,199.536
USGS,SIT,Sitka,57.060,224.673
USGS,SJG,Cayey,18.110,293.850
USGS,TUC,Tucson,32.170,249.266
PENGUIN,PG0,Antarctica,-83.670,88.681
PENGUIN,PG1,Antarctica,-85.501,77.199
PENGUIN,PG2,Antarctica,-84.419,57.956
PENGUIN,PG3,Antarctica,-84.810,37.620
PENGUIN,PG4,Antarctica,-83.340,12.250
PENGUIN,PG5,Antarctica,-81.960,5.710
